                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8711,                 2.6805,                  1.248,                0.47272,                 0.7664,                0.68347,                0.56179,                0.53238,                 3.0654,                0.98106,             0.00018577,             0.00018577,             0.00018577
                      2,                0.74896,                 1.4151,                 1.1312,                0.71337,                0.69398,                0.74796,                0.59973,                0.70074,                 1.8085,                  1.101,             0.00037819,             0.00037819,             0.00037819
                      3,                0.75801,                 1.2634,                 1.1265,                0.57831,                0.49029,                0.48754,                0.36663,                 1.0151,                 2.7659,                 1.4274,             0.00056269,             0.00056269,             0.00056269
                      4,                0.84021,                 1.2142,                 1.1778,                0.64145,                0.52823,                0.61451,                0.43744,                0.93316,                 2.8364,                 1.3175,             0.00073926,             0.00073926,             0.00073926
                      5,                0.93309,                 1.2772,                 1.2424,                0.41551,                0.45964,                0.44241,                0.32682,                 1.1325,                 2.9526,                 1.4966,             0.00090792,             0.00090792,             0.00090792
                      6,                0.97092,                 1.4359,                 1.2808,                  0.548,                0.60259,                 0.5365,                0.35782,                 1.2424,                 2.5877,                 1.6322,              0.0010686,              0.0010686,              0.0010686
                      7,                0.93097,                 1.2217,                 1.2573,                   0.49,                0.51965,                0.47478,                0.34236,                 1.1526,                 2.7931,                 1.5756,              0.0012215,              0.0012215,              0.0012215
                      8,                0.96042,                 1.1536,                  1.253,                0.44971,                0.54181,                0.44763,                0.28636,                 1.2194,                 5.5533,                 1.6225,              0.0012309,              0.0012309,              0.0012309
                      9,                 0.9682,                 1.1893,                 1.2694,                0.31094,                0.45163,                0.36446,                0.26318,                 1.1517,                 6.1155,                 1.5282,              0.0012026,              0.0012026,              0.0012026
                     10,                0.93207,                 1.1943,                 1.2377,                 0.5075,                0.45775,                0.45439,                0.31554,                 1.2264,                 2.7894,                 1.5809,              0.0011744,              0.0011744,              0.0011744
                     11,                0.88616,                 1.1037,                 1.1883,                 0.6274,                0.41557,                0.45747,                0.33141,                 1.2264,                 2.5131,                 1.6746,              0.0011461,              0.0011461,              0.0011461
                     12,                0.87988,                 1.0505,                 1.2044,                0.57575,                0.47363,                0.50092,                0.36508,                 1.0489,                 2.1534,                 1.3901,              0.0011178,              0.0011178,              0.0011178
                     13,                0.87073,                0.98691,                 1.2135,                0.55412,                0.54455,                0.54439,                0.42915,                  1.014,                 2.8134,                 1.3913,              0.0010895,              0.0010895,              0.0010895
                     14,                0.79919,                0.94549,                 1.1917,                  0.601,                0.56581,                 0.5743,                0.42791,                 1.0642,                 2.0011,                 1.4779,              0.0010612,              0.0010612,              0.0010612
                     15,                 0.7856,                0.89942,                 1.1299,                0.67081,                0.62637,                0.66199,                0.54162,                0.93316,                  1.975,                 1.2799,              0.0010329,              0.0010329,              0.0010329
                     16,                0.87339,                0.92123,                 1.2112,                 0.6461,                0.67469,                0.63165,                0.48557,                0.99149,                 1.7717,                 1.3722,              0.0010046,              0.0010046,              0.0010046
                     17,                0.76754,                0.89775,                 1.1458,                0.67055,                0.70471,                0.71082,                0.53179,                0.97292,                  1.311,                 1.3317,             0.00097629,             0.00097629,             0.00097629
                     18,                0.71888,                0.80351,                 1.1162,                0.80853,                0.71315,                0.74771,                0.58918,                0.84064,                   1.23,                 1.1968,               0.000948,               0.000948,               0.000948
                     19,                0.81942,                0.89457,                 1.1499,                0.70366,                0.73961,                0.75436,                0.62562,                0.80697,                 1.3344,                 1.1562,              0.0009197,              0.0009197,              0.0009197
