                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                0.75789,                  0.856,                 1.1138,                0.81397,                0.71199,                0.75944,                0.62946,                0.79003,                 1.3777,                 1.1801,             0.00089141,             0.00089141,             0.00089141
                     21,                0.72364,                0.78812,                 1.1128,                0.85465,                0.71948,                0.79175,                0.66288,                0.81511,                 1.0909,                 1.1488,             0.00086312,             0.00086312,             0.00086312
                     22,                0.69388,                0.79131,                 1.1001,                0.83995,                0.68508,                0.77718,                0.63469,                0.79505,                 1.0558,                 1.1505,             0.00083482,             0.00083482,             0.00083482
                     23,                 0.6796,                0.80792,                 1.0982,                 0.7727,                0.70962,                0.79455,                0.65378,                0.80911,                 1.0879,                 1.1759,             0.00080653,             0.00080653,             0.00080653
                     24,                0.68869,                0.71264,                  1.086,                0.72545,                 0.7287,                0.76139,                0.62445,                0.81198,                 1.1503,                 1.2033,             0.00077823,             0.00077823,             0.00077823
                     25,                0.68802,                0.74767,                 1.1003,                0.79488,                0.69212,                0.78157,                0.65148,                  0.765,                 1.0459,                  1.136,             0.00074994,             0.00074994,             0.00074994
                     26,                0.69277,                0.74388,                 1.1062,                0.80313,                0.78786,                0.82076,                0.70026,                0.70498,                0.90091,                 1.1024,             0.00072164,             0.00072164,             0.00072164
                     27,                0.68567,                0.69613,                  1.073,                0.81436,                0.69869,                 0.7827,                0.67275,                0.70288,                 1.0379,                 1.1233,             0.00069335,             0.00069335,             0.00069335
                     28,                0.67387,                0.66427,                 1.0692,                 0.7538,                0.74774,                0.76028,                0.63887,                 0.6937,                 1.0441,                 1.1197,             0.00066506,             0.00066506,             0.00066506
                     29,                0.63153,                0.63371,                 1.0646,                0.78967,                0.79291,                0.81999,                0.70233,                0.65739,                 0.8922,                 1.0951,             0.00063676,             0.00063676,             0.00063676
                     30,                0.62422,                0.61261,                 1.0425,                 0.8097,                 0.7602,                 0.7988,                0.68945,                0.67453,                0.90869,                 1.1119,             0.00060847,             0.00060847,             0.00060847
                     31,                0.61103,                0.61624,                 1.0637,                0.86042,                0.73796,                0.80501,                0.67577,                0.71886,                0.85368,                 1.1567,             0.00058017,             0.00058017,             0.00058017
                     32,                0.62876,                0.67619,                 1.0702,                0.88072,                0.72233,                0.81582,                0.67534,                0.71448,                0.89272,                 1.1602,             0.00055188,             0.00055188,             0.00055188
                     33,                0.62005,                0.63546,                 1.0295,                0.89543,                0.70318,                0.81398,                0.68193,                0.70895,                0.81882,                 1.1419,             0.00052359,             0.00052359,             0.00052359
                     34,                0.52233,                0.53919,                0.99454,                0.79872,                0.76932,                0.82402,                 0.7234,                0.62641,                0.83141,                 1.0578,             0.00049529,             0.00049529,             0.00049529
                     35,                   0.59,                0.60301,                0.99951,                0.79097,                0.77256,                 0.8243,                0.71626,                0.62591,                0.82876,                 1.0565,               0.000467,               0.000467,               0.000467
                     36,                 0.5973,                0.57382,                 1.0386,                0.87138,                0.76255,                0.82546,                0.72936,                0.58748,                0.78998,                 1.0246,              0.0004387,              0.0004387,              0.0004387
                     37,                0.55321,                0.57778,                 1.0274,                0.87838,                0.75091,                0.82675,                0.73359,                0.58307,                0.79657,                 1.0136,             0.00041041,             0.00041041,             0.00041041
                     38,                0.51847,                0.51675,                0.99124,                0.84576,                0.77164,                0.82305,                0.72045,                0.62659,                0.79903,                 1.0523,             0.00038211,             0.00038211,             0.00038211
                     39,                0.61001,                0.54013,                 1.0649,                 0.8807,                0.79125,                0.83595,                0.72837,                0.65938,                0.79136,                 1.0878,             0.00035382,             0.00035382,             0.00035382
                     40,                0.54111,                0.50541,                 1.0107,                0.84559,                0.80162,                0.84008,                0.73113,                 0.6276,                 0.7619,                 1.0692,             0.00032553,             0.00032553,             0.00032553
                     41,                0.49886,                0.59491,                0.97625,                0.90003,                0.78261,                0.84665,                0.73146,                0.64427,                 0.7365,                 1.0936,             0.00029723,             0.00029723,             0.00029723
                     42,                 0.4892,                0.50726,                  0.962,                0.86145,                0.79451,                0.83966,                0.73395,                0.62334,                0.75533,                 1.0667,             0.00026894,             0.00026894,             0.00026894
                     43,                0.45816,                0.49466,                0.95128,                0.89473,                 0.7884,                0.83626,                0.73241,                0.60721,                0.72435,                 1.0482,             0.00024064,             0.00024064,             0.00024064
                     44,                0.43554,                 0.4037,                0.94969,                0.89369,                0.75362,                0.80602,                0.71748,                 0.6089,                0.75581,                 1.0355,             0.00021235,             0.00021235,             0.00021235
                     45,                 0.4408,                0.43981,                0.94825,                0.86407,                0.72701,                0.79964,                0.71695,                0.60248,                0.78338,                 1.0412,             0.00018406,             0.00018406,             0.00018406
                     46,                0.50122,                0.48461,                0.96913,                0.87979,                 0.7715,                0.82592,                0.74474,                0.58425,                0.71182,                 1.0401,             0.00015576,             0.00015576,             0.00015576
                     47,                0.40747,                0.39431,                0.89749,                0.80873,                0.84398,                0.84354,                0.75257,                0.59516,                0.68525,                 1.0397,             0.00012747,             0.00012747,             0.00012747
                     48,                0.40807,                0.39633,                   0.94,                0.92238,                0.75535,                0.84136,                0.75727,                0.58517,                0.68364,                 1.0299,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.36213,                0.35229,                 0.8947,                0.86075,                0.79047,                0.84052,                0.75677,                0.57303,                0.69399,                 1.0196,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 0.3901,                0.36358,                0.90024,                0.84804,                0.79766,                0.83949,                 0.7566,                0.57826,                 0.6969,                 1.0235,             4.2584e-05,             4.2584e-05,             4.2584e-05
