                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8711,                 2.6805,                  1.248,                0.47272,                 0.7664,                0.68347,                0.56179,                0.53238,                 3.0654,                0.98106,             0.00018577,             0.00018577,             0.00018577
                      2,                0.74896,                 1.4151,                 1.1312,                0.71337,                0.69398,                0.74796,                0.59973,                0.70074,                 1.8085,                  1.101,             0.00037819,             0.00037819,             0.00037819
                      3,                0.75801,                 1.2634,                 1.1265,                0.57831,                0.49029,                0.48754,                0.36663,                 1.0151,                 2.7659,                 1.4274,             0.00056269,             0.00056269,             0.00056269
                      4,                0.84021,                 1.2142,                 1.1778,                0.64145,                0.52823,                0.61451,                0.43744,                0.93316,                 2.8364,                 1.3175,             0.00073926,             0.00073926,             0.00073926
                      5,                0.93309,                 1.2772,                 1.2424,                0.41551,                0.45964,                0.44241,                0.32682,                 1.1325,                 2.9526,                 1.4966,             0.00090792,             0.00090792,             0.00090792
                      6,                0.97092,                 1.4359,                 1.2808,                  0.548,                0.60259,                 0.5365,                0.35782,                 1.2424,                 2.5877,                 1.6322,              0.0010686,              0.0010686,              0.0010686
                      7,                0.93097,                 1.2217,                 1.2573,                   0.49,                0.51965,                0.47478,                0.34236,                 1.1526,                 2.7931,                 1.5756,              0.0012215,              0.0012215,              0.0012215
