                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.54757,                0.53609,                 1.0238,                0.96541,                0.99217,                0.99221,                0.92334,                0.41358,                0.36468,                0.88384,               0.000467,               0.000467,               0.000467
                     36,                0.55001,                0.54315,                 1.0225,                0.95864,                0.98182,                0.99011,                0.91784,                0.43098,                0.35552,                0.89046,              0.0004387,              0.0004387,              0.0004387
                     37,                0.54412,                0.50027,                0.99675,                0.96012,                0.99138,                0.99149,                0.91316,                0.40536,                0.34371,                0.89461,             0.00041041,             0.00041041,             0.00041041
                     38,                0.56048,                0.53487,                 1.0377,                0.94928,                0.98788,                0.99112,                0.92793,                0.39372,                0.33915,                0.89096,             0.00038211,             0.00038211,             0.00038211
                     39,                0.51536,                0.49936,                0.99544,                0.94971,                0.98665,                0.99182,                0.92864,                0.39292,                0.33357,                0.88942,             0.00035382,             0.00035382,             0.00035382
                     40,                0.52044,                0.50028,                 1.0097,                0.95541,                0.97464,                0.98868,                0.92833,                0.37258,                 0.3329,                0.87308,             0.00032553,             0.00032553,             0.00032553
                     41,                0.48738,                0.51068,                0.96673,                0.93706,                0.99318,                0.99022,                0.92995,                0.39231,                0.32906,                0.88801,             0.00029723,             0.00029723,             0.00029723
                     42,                0.47014,                 0.4751,                0.97052,                0.97507,                0.96053,                0.99144,                0.92311,                0.38771,                0.32739,                0.88914,             0.00026894,             0.00026894,             0.00026894
                     43,                0.44991,                0.45141,                0.96154,                0.95062,                0.99394,                0.99225,                0.93429,                0.35306,                0.32312,                0.84746,             0.00024064,             0.00024064,             0.00024064
                     44,                0.43832,                0.44485,                0.93435,                0.96855,                0.97576,                0.99417,                0.94444,                0.33617,                0.30063,                0.84031,             0.00021235,             0.00021235,             0.00021235
                     45,                0.45375,                0.41017,                0.96297,                0.97021,                 0.9697,                0.99328,                0.94663,                0.33676,                0.30442,                0.83494,             0.00018406,             0.00018406,             0.00018406
                     46,                0.42295,                0.39242,                0.94034,                0.97667,                 0.9697,                0.99278,                0.95483,                0.32926,                0.30794,                0.83006,             0.00015576,             0.00015576,             0.00015576
                     47,                0.39578,                0.36961,                0.93168,                0.96934,                0.98088,                0.99304,                0.95114,                0.32236,                0.29674,                0.82351,             0.00012747,             0.00012747,             0.00012747
                     48,                0.39694,                 0.3652,                0.90454,                0.97096,                0.98788,                0.99357,                0.95149,                0.31706,                  0.284,                0.82751,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.36734,                0.33007,                0.89918,                0.97954,                0.98548,                0.99465,                0.95653,                0.30887,                 0.2762,                0.82434,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.37404,                0.33513,                0.91199,                0.98096,                0.98182,                0.99425,                0.95701,                0.30326,                0.26969,                0.82075,             4.2584e-05,             4.2584e-05,             4.2584e-05
